id,Job_Title,jobCategory,Age,Gender,Status,Employee_Type,Educational_Level,experiance,Prefer_Shift,crossFunctionlTeamAreas,Training,Salary,Work_Hours,amountOfAutometedWorkEstimate,amountOfManualWorkEstimate,Leave_Per_Month
1,Packing,C,42,Male,Married,Other,Diploma,39,Morning,Marketing,Other,30090.0,1,75,71,16
15,iron,C,40,Male,Single,Other,Bsc,16,Evening,Sales,Other,20836.0,22,60,67,16
23,Cutter,C,44,Male,Married,Part Time,Master's Degree,23,Other,Material Purchacing,Mentoring,20823.0,9,36,21,19
34,Border,C,24,Male,Single,Full time,Other,6,Night,Design,Other,28329.0,21,57,63,28
43,Cutter,C,33,Female,Married,Other,Other,22,Night,Sales,Non Formal pre entrence Training,16943.0,23,66,62,4
47,mechanics,C,59,Female,Single,Other,Diploma,39,Morning,QA,Non Formal pre entrence Training,20992.0,16,58,76,19
55,Border,C,30,Male,Single,Helper,Junior College,39,Afternoon,Sales,Mentoring,28939.0,6,86,68,29
57,mechanics,C,25,Male,Married,Contractor,Junior College,17,Morning,Design,On the Job,11865.0,13,82,92,0
59,Screen Printer,C,34,Female,Single,Part Time,Master's Degree,18,Afternoon,Sales,On the Job,28348.0,11,4,50,29
60,Cutter,C,51,Male,Married,Part Time,Junior College,26,Night,Sales,On the Job,24574.0,14,84,15,9
64,Screen Printer,C,27,Female,Single,Helper,Master's Degree,17,Morning,Manufacturing,Non Formal pre entrence Training,26349.0,6,3,48,9
74,Screen Printer,C,56,Male,Married,Other,Other,3,Evening,Sales,On the Job,9358.0,11,72,37,12
76,mechanics,C,42,Male,Married,Contractor,Master's Degree,29,Evening,Manufacturing,Mentoring,19855.0,6,57,100,10
85,Border,C,43,Female,Single,Part Time,Master's Degree,15,Night,Engineering,Other,12421.0,13,76,90,20
92,Cutter,C,36,Female,Married,Full time,Other,9,Afternoon,Design,Other,29943.0,7,26,77,29
102,Packing,C,22,Male,Married,Full time,Bsc,2,Afternoon,Material Purchacing,Other,27743.0,18,12,74,10
109,mechanics,C,41,Male,Single,Other,Other,40,Morning,Marketing,Non Formal pre entrence Training,30266.0,5,54,85,6
111,Packing,C,27,Female,Married,Contractor,Bsc,26,Afternoon,Marketing,Formal pre entrence Training,18019.0,21,45,79,3
131,mechanics,C,43,Female,Married,Contractor,Bsc,10,Night,QA,Non Formal pre entrence Training,15415.0,22,1,80,6
134,Machin oparator,C,36,Female,Married,Part Time,Junior College,17,Morning,Material Purchacing,Non Formal pre entrence Training,24293.0,7,84,53,20
138,Screen Printer,C,59,Male,Single,Other,Diploma,10,Other,Design,Other,15963.0,22,14,6,27
141,Border,C,50,Male,Married,Helper,Junior College,27,Afternoon,Material Purchacing,Other,19064.0,20,23,2,15
163,Screen Printer,C,49,Female,Single,Contractor,Bsc,43,Afternoon,QA,Non Formal pre entrence Training,9370.0,7,99,100,21
187,Packing,C,47,Male,Married,Contractor,Junior College,11,Morning,Marketing,Formal pre entrence Training,31234.0,5,47,30,27
206,mechanics,C,45,Female,Single,Helper,Junior College,2,Morning,Sales,Non Formal pre entrence Training,24879.0,12,28,13,3
236,Border,C,35,Female,Single,Other,Master's Degree,9,Other,Sales,Formal pre entrence Training,29273.0,5,41,62,18
266,Screen Printer,C,33,Female,Single,Contractor,Junior College,15,Night,QA,Other,12644.0,5,73,3,27
287,Packing,C,28,Male,Single,Other,Other,39,Night,Material Purchacing,Other,12058.0,5,43,4,5
311,iron,C,43,Female,Married,Helper,Master's Degree,10,Night,QA,Mentoring,34851.0,8,64,14,18
316,Border,C,39,Male,Married,Contractor,Other,41,Night,Marketing,Non Formal pre entrence Training,18405.0,1,79,33,9
341,Cutter,C,59,Female,Married,Other,Other,20,Afternoon,Manufacturing,Mentoring,31669.0,16,23,20,1
348,mechanics,C,48,Female,Single,Contractor,Junior College,17,Morning,Marketing,Formal pre entrence Training,29257.0,23,65,42,9
381,Machin oparator,C,18,Female,Married,Full time,Other,10,Evening,Design,On the Job,30158.0,10,59,13,3
386,Screen Printer,C,51,Female,Single,Helper,Diploma,9,Night,Material Purchacing,Other,26036.0,19,11,36,2
393,Cutter,C,16,Female,Single,Part Time,Bsc,5,Afternoon,Material Purchacing,Formal pre entrence Training,19224.0,19,40,39,0
406,Machin oparator,C,59,Female,Married,Full time,Master's Degree,7,Evening,Material Purchacing,Other,15555.0,24,21,8,21
420,iron,C,52,Female,Married,Helper,Junior College,6,Night,Engineering,Formal pre entrence Training,18099.0,4,66,68,26
460,Machin oparator,C,56,Female,Married,Full time,Diploma,9,Other,Sales,On the Job,12670.0,10,31,79,13
478,Cutter,C,51,Male,Married,Part Time,Other,30,Afternoon,QA,Other,20385.0,24,24,49,1
491,Machin oparator,C,17,Female,Married,Full time,Junior College,0,Other,Material Purchacing,Other,22705.0,8,65,46,15
505,Packing,C,33,Male,Married,Full time,Master's Degree,23,Afternoon,Engineering,Other,26409.0,24,22,26,25
508,mechanics,C,39,Female,Single,Contractor,Other,22,Evening,Manufacturing,On the Job,26948.0,22,54,57,17
530,Packing,C,24,Male,Married,Contractor,Bsc,17,Afternoon,Engineering,Mentoring,24390.0,5,100,87,18
536,Screen Printer,C,56,Female,Married,Helper,Master's Degree,41,Night,Sales,Formal pre entrence Training,12229.0,3,13,80,27
540,Machin oparator,C,22,Male,Married,Part Time,Bsc,24,Other,Engineering,Non Formal pre entrence Training,17616.0,3,55,74,16
570,Machin oparator,C,26,Male,Married,Full time,Diploma,37,Morning,Design,Mentoring,13869.0,15,88,42,5
571,Cutter,C,16,Male,Single,Part Time,Bsc,15,Afternoon,Design,On the Job,19189.0,20,13,17,6
575,Border,C,51,Male,Married,Contractor,Diploma,17,Night,Material Purchacing,Other,30744.0,16,75,47,12
591,Machin oparator,C,18,Male,Married,Full time,Diploma,34,Other,Material Purchacing,Non Formal pre entrence Training,25095.0,16,5,84,10
594,Screen Printer,C,42,Male,Married,Full time,Master's Degree,26,Evening,Material Purchacing,Other,21329.0,19,77,19,7
596,mechanics,C,53,Male,Single,Part Time,Other,43,Morning,Marketing,Formal pre entrence Training,34262.0,17,62,78,26
611,Cutter,C,32,Male,Married,Full time,Junior College,14,Night,Material Purchacing,Mentoring,24063.0,16,90,18,15
616,Cutter,C,33,Male,Single,Helper,Master's Degree,35,Night,QA,Other,14187.0,12,27,95,19
619,Machin oparator,C,43,Female,Married,Helper,Master's Degree,8,Evening,Sales,On the Job,30939.0,16,29,24,29
647,iron,C,17,Male,Single,Part Time,Other,28,Evening,Material Purchacing,Non Formal pre entrence Training,30034.0,23,24,87,23
699,Machin oparator,C,26,Male,Single,Part Time,Diploma,18,Night,Design,Other,26085.0,15,5,95,15
703,Machin oparator,C,42,Male,Married,Other,Other,42,Other,Design,On the Job,31416.0,9,33,90,1
741,Machin oparator,C,49,Female,Married,Full time,Junior College,29,Evening,Marketing,Formal pre entrence Training,9880.0,5,80,23,27
