Employee ID,Employee Name,Age,Gender,Marital Status,Having Degree,Job Role,Department,Work From,Work To,Tenure,Salary,Bonus,Claims,Worked Project,No of Leaves,Distance,No of Parents,No of Children,No of Complaints,Reason to Leave,Churn
0,922,27,1,1,0,9,3,114,86,42,4,562,355,6,5,501,2,0,2,0,0
1111,1598,25,0,1,1,19,3,1039,820,3,19,1114,870,7,17,986,1,0,4,7,1
1973,492,30,0,1,0,6,3,368,442,7,2,813,1114,6,15,639,1,0,4,7,1
2084,612,22,1,0,1,8,3,373,2239,31,14,291,1730,10,11,1053,3,1,3,0,0
2195,1850,22,0,1,0,15,1,1593,2319,10,8,1024,704,6,5,2681,2,0,5,7,1
2306,585,12,0,1,1,19,3,526,427,5,19,630,2084,2,17,1333,0,0,5,7,1
2417,1190,14,0,1,1,22,3,262,322,6,10,702,1135,6,0,520,0,0,5,7,1
2528,653,12,0,0,1,24,6,2059,1585,38,15,166,728,2,19,2503,1,2,3,2,1
2639,181,28,0,1,1,16,1,754,649,5,13,1207,1321,0,0,1549,2,0,5,7,1
1,1988,15,1,1,0,3,6,1602,1410,2,6,577,1488,12,2,2630,1,0,2,0,0
112,2004,21,0,1,0,6,3,1008,627,1,2,469,522,10,12,338,1,0,5,7,1
223,1398,0,1,0,0,15,1,1432,527,0,8,1170,1911,1,18,659,1,1,0,0,0
334,2331,26,0,0,0,20,6,1317,2371,16,5,558,2087,11,7,2477,0,4,1,2,1
445,1217,11,0,1,0,11,3,652,1465,19,2,378,1448,5,16,769,1,0,5,7,1
556,1087,17,0,1,1,18,4,1485,1375,4,17,209,280,9,6,703,0,0,3,7,1
667,1779,17,0,1,0,21,6,1202,1442,9,2,595,2204,12,3,1579,1,0,5,7,1
778,1547,25,0,1,0,15,1,1064,509,40,8,1170,1238,7,3,975,2,0,4,7,1
889,1271,17,0,1,1,14,5,813,306,38,18,177,8,0,17,2557,2,0,3,7,1
1000,2304,29,1,1,1,2,1,847,317,39,11,770,1056,7,2,2273,2,0,6,5,1
1112,531,30,0,0,0,13,6,990,514,41,7,852,2343,11,18,1818,1,5,2,2,1
1223,985,30,1,1,0,9,3,2406,1840,11,4,502,1261,9,6,1024,1,0,4,5,1
1334,435,4,1,0,0,3,6,1120,2222,17,6,456,1163,11,0,640,1,4,3,4,1
1445,2527,25,0,1,1,7,3,2077,1532,33,9,627,590,2,9,2092,1,0,5,7,1
1556,2164,7,0,1,1,8,3,709,139,11,14,58,1336,11,16,2409,0,0,5,7,1
1667,1332,15,0,0,1,5,2,1701,1971,6,10,261,134,1,10,1450,4,0,3,2,1
1778,1507,16,0,1,0,6,3,948,381,39,2,597,1310,10,20,2071,2,0,4,7,1
1889,866,25,0,1,0,12,1,1774,2032,4,3,379,1737,3,8,1034,0,0,4,7,1
1951,2213,15,0,1,0,6,3,996,250,0,2,805,29,2,17,2360,0,0,3,7,1
1962,102,18,1,1,0,3,6,1577,2039,8,6,834,340,5,9,2056,0,0,6,5,1
1974,1870,10,0,1,0,0,0,752,158,0,0,0,904,0,19,942,0,0,3,7,1
1985,91,6,1,1,0,12,1,107,935,23,3,619,1152,5,0,1495,1,0,2,3,1
1996,68,1,0,1,1,2,1,1921,2240,4,11,16,1966,10,5,1728,2,0,3,5,1
2007,1960,2,0,1,1,1,1,842,179,0,20,40,2267,5,9,158,0,0,0,0,0
2018,63,25,1,0,1,17,6,2440,2016,11,12,837,920,9,20,2491,3,1,1,0,0
2029,107,11,0,1,0,9,3,1746,1825,3,4,608,498,2,5,2509,2,0,3,7,1
2040,852,1,1,0,0,6,3,1824,928,0,2,640,1069,5,9,1776,1,5,0,0,0
2051,2375,5,0,1,0,21,6,2502,2225,11,2,278,218,3,17,238,2,0,4,7,1
2062,622,18,0,1,1,2,1,662,351,1,11,614,747,6,6,753,0,0,4,7,1
2073,980,20,0,0,1,17,6,1473,894,39,12,874,1565,11,9,2540,4,2,2,2,1
